Gang,Impulse,Fehler,Zeit [s],Fehler [s],Geschwindikgeit [m/s],Fehler [m/s]
6.0,3980.4,5.316,3.9804,0.0053,0.051,0.00026
12.0,1994.2,2.267,1.9942,0.0023,0.101,0.00051
18.0,13287.8,17.676,1.3288,0.0018,0.152,0.00078
24.0,9956.8,18.034,0.9957,0.0018,0.203,0.00107
30.0,7979.0,5.495,0.7979,0.0005,0.253,0.00127
36.0,6665.8,8.834,0.6666,0.0009,0.303,0.00155
42.0,5699.2,2.988,0.5699,0.0029,0.354,0.00256
48.0,5020.4,7.966,0.502,0.0008,0.402,0.00209
54.0,4466.4,5.221,0.4466,0.0005,0.452,0.0023
60.0,4019.6,4.238,0.4019,0.0004,0.503,0.00254
